Hotel_Name,Location,Room_Type,Price_Per_Night_USD
Ocean View Resort,"Miami, FL",Deluxe Suite,250
Mountain Peak Lodge,"Aspen, CO",Standard Room,180
City Central Hotel,"New York, NY",Executive Suite,300
Sunset Paradise Inn,"San Diego, CA",Ocean View Room,220
Grand Royal Palace,"Las Vegas, NV",Presidential Suite,500
Lakeside Retreat,"Lake Tahoe, CA",Lake View Cabin,270
Desert Star Hotel,"Phoenix, AZ",King Room,150
Forest Haven Suites,"Portland, OR",Family Suite,320
Skyline Luxury Stay,"Chicago, IL",Penthouse,450
Coastal Breeze Hotel,"Charleston, SC",Queen Room,200
